date,actual,actual_train,actual_test,forecast_holt-winters,forecast_sarimax,forecast_prophet,forecast_var
2024-07-01,35.294117647058826,,35.294117647058826,35.29416579674434,34.36895014999473,41.475353105459476,36.97888213657275
2024-08-01,35.294117647058826,,35.294117647058826,35.867718642868255,33.58343552542693,40.16099119938076,37.010462032239204
2024-09-01,26.176470588235293,,26.176470588235293,36.91814093599675,35.37751060025322,41.835494221259175,37.03259809258082
2024-10-01,26.176470588235293,,26.176470588235293,35.67866767792495,38.27632141152691,41.47810939834279,36.93966189877916
2024-11-01,26.176470588235293,,26.176470588235293,35.678669989418864,38.25290710250184,40.45538184926116,36.659153585773815
2024-12-01,26.176470588235293,,26.176470588235293,35.855167796087656,38.373104300205455,40.817502009594506,36.12284987347615
2025-01-01,26.176470588235293,,26.176470588235293,35.85511262415035,38.35939513146936,41.907008230613805,35.705612214963246
2025-02-01,26.176470588235293,,26.176470588235293,35.85512373861777,38.36986656542396,43.83333030848158,35.378370018977186
2025-03-01,27.941176470588236,,27.941176470588236,36.04420021622925,36.47409870937731,40.324636698027135,35.11555044574792
2025-04-01,27.941176470588236,,27.941176470588236,36.12829248203337,36.62607023620036,41.041793116756764,34.987620679056214
