date,acled_events,acled_fatalities,idp_population,wfp_price_mean,wfp_inflation_mean,rain_1m,rain_3m,rain_anomaly_1m,rain_anomaly_3m,ipc_phase_3plus_pct
2019-04-01,974,2827.0,0.0,1.0142647058823528,0.4069117647058822,88.1458449117647,291.80594867647056,188.23272147058822,171.55433294117643,42.38235294117647
2019-05-01,967,3553.0,0.0,1.0269117647058823,1.469558823529412,19.732456685294117,202.0095526470588,91.06692402941178,160.7291066764706,42.38235294117647
2019-06-01,1079,3274.0,668903.1042145054,1.0322058823529414,1.9835294117647058,9.141281544138236,117.01958170588237,124.62634497058822,162.06715161764706,42.38235294117647
2019-07-01,1542,4536.0,0.0,1.035294117647059,2.3647058823529408,9.508876067388236,38.382613138235286,105.7095165294118,100.81972082352938,42.38235294117647
2019-08-01,1594,4670.0,0.0,1.0260294117647057,1.3258823529411767,8.981226251164705,27.63138438205882,109.26754476470587,124.81369523529416,34.55882352941177
2019-09-01,1834,5673.0,0.0,1.0280882352941176,0.6954411764705881,3.034241207661765,21.524343687264707,91.22724591176473,104.74762488235292,34.55882352941177
2019-10-01,1511,3770.0,0.0,1.0282352941176474,0.43882352941176467,15.418362705882354,27.433829485294122,141.1428553235294,126.24329547058824,34.55882352941177
2019-11-01,1173,2381.0,0.0,1.0270588235294118,0.5820588235294117,40.45706855882353,58.909671608823544,182.94866735294116,163.9277,34.55882352941177
2019-12-01,1174,3104.0,688412.983796773,1.0258823529411765,0.7882352941176469,18.850372347058823,74.72580385294118,70.65090576470588,126.63864505882354,34.55882352941177
2020-01-01,1126,1818.0,0.0,1.0197058823529412,0.7725,63.39121705882353,122.69865797058823,166.28050044117649,144.8422496764706,34.55882352941177
2020-02-01,849,1471.0,0.0,1.023235294117647,1.855,49.69105114705883,131.93264144117643,81.093407,106.1481657647059,34.55882352941177
2020-03-01,858,1727.0,0.0,1.0223529411764705,2.104411764705883,95.30386102941178,208.38613029411772,142.3606815882353,128.60293738235293,34.55882352941177
2020-04-01,676,2344.0,0.0,1.0011764705882353,-1.2610294117647056,95.73431058823532,240.72922079411765,186.04695411764703,133.66959288235296,35.73529411764706
