,Kabul,Kapisa,Parwan,Maidan Wardak,Logar,Nangarhar,Laghman,Panjsher,Baghlan,Bamyan,Ghazni,Paktika,Paktya,Khost,Kunar,Nuristan,Badakhshan,Takhar,Kunduz,Samangan,Balkh,Sar-e-Pul,Ghor,Daykundi,Uruzgan,Zabul,Kandahar,Jawzjan,Faryab,Hilmand,Badghis,Hirat,Farah,Nimroz
Ghazni,1.1731803343520228,1.0051913789161884,1.0428338984285397,1.081959064834557,1.0664177643164372,0.9405850296312966,1.0263159471966998,1.092711439992275,1.200342518240858,0.8221102884265508,0.0,0.6790182758127885,0.9191043749524709,0.8969964839766045,0.8712672889905447,1.2114383812700387,1.2062267587983164,1.3894356294562282,1.063715156098452,0.8527669324322424,1.0775997520917917,0.6538515907722912,1.1995120736658607,1.1008494942062765,1.000356346910461,1.081242948935121,0.9860425151666096,1.0461707445329742,0.9274418264793973,0.9031690333220153,1.129238268832663,1.056903664827102,1.2234901795995563,1.2756498674095433
Paktika,1.2020629222138888,0.720924324781965,1.0868523915621127,1.1790764069850097,0.9997122851849518,1.1221814823248837,1.0241111520058936,0.7785713169804184,0.8871793671238506,1.0754366811882365,0.6790182758127885,0.0,0.8916288563743376,0.8975458041974501,1.0992445061374307,1.2885102602398126,1.4187980567472962,1.2008881948594867,0.8991982808610388,1.1221369834840347,1.3019917123462417,0.9070418803179101,1.3745481794202234,1.3280923210363456,1.2714287738887575,1.2490951353427127,1.1081544448644898,1.1568463729345975,1.2792635034686914,1.0162984729342324,1.249074128738534,1.2152882403232264,1.2143025352651908,1.343143272241547
Paktya,1.2472041803951348,1.2677041988802036,1.3167561095080704,1.0703700784271448,0.9668678437267213,0.63706448910006,0.6771308437362455,1.3898277427051384,0.9042546838934331,0.6616267092362252,0.9191043749524709,0.8916288563743376,0.0,1.3336995318649298,0.8724385958482694,0.620810589527477,1.1342832228867803,1.110594077664118,0.9011973442143304,1.0627853666830493,0.9394833150092928,1.0699266173134188,0.7958094997737382,1.1479443264886688,1.045965641362072,0.7335152605171602,0.7404572284303842,1.0697431661105778,0.9749383230059848,0.5803354806032077,0.9317918208157187,0.6940024519236648,0.6033019146059883,1.3199622219617781
Khost,1.2316775220307274,0.7193657934692297,1.1409245147761098,1.0193690753793336,1.173905866470696,1.354966156747375,1.2615040971318534,0.769095865094628,1.4628508740591275,1.161468988804302,0.8969964839766045,0.8975458041974501,1.3336995318649298,0.0,1.1250877893392528,1.515001131583717,1.538327935165476,1.2928565888131607,1.3765455565130584,1.1912881651759204,1.3283344535186938,0.8434268025127002,1.5143301253869899,1.3486798585365225,1.3443055282400524,1.452076635840583,1.3901658642243278,1.4223698482660163,1.292114812985701,1.320137916934228,1.3947663320392227,1.5609568576397592,1.600766970094919,1.2607468389660537
Kunar,1.0209953388268171,1.1859506198920386,0.9888388950135695,0.7454285732048724,0.8937308232016857,0.8825989083635797,1.093987376805461,1.401688303666472,1.156589783176622,0.9564060235057896,0.8712672889905447,1.0992445061374307,0.8724385958482694,1.1250877893392528,0.0,0.8705795742798756,1.183506837171159,1.1270034513440288,0.931108239362346,0.8679424273980743,0.6188818950795155,1.0569931369365646,0.9465586331953063,1.1851806574553132,1.1603575632548797,0.82881442310753,0.8716957682047515,0.7720723227612722,0.6820890493086043,0.9567366554781296,1.2047204370294264,0.8054901805384184,0.9338070826236929,1.2790396310090975
Nuristan,1.1162561394957986,1.450037023834088,1.3863344634655066,0.9510503475415725,1.1399135628226214,0.578187508334363,0.7846298685678016,1.6361160324975246,1.063713363345056,0.8467290180999868,1.2114383812700387,1.2885102602398126,0.620810589527477,1.515001131583717,0.8705795742798756,0.0,0.9017722101575373,1.154293083858837,1.1414731545285013,0.9739927543411754,0.722253881440839,1.2128855788745063,0.5679283633428331,1.0774769220371954,0.9453952426073527,0.5308377400549592,0.6642746723729294,1.1771225313517755,0.8725746625473468,0.8629155540676713,0.8961614795230061,0.4998610415165158,0.5144370839483248,1.1528952723133379
Badakhshan,1.172758586429416,1.5442521700984486,1.383645961159496,1.2201064293817325,1.3319402799839466,0.8147833379449854,1.0614466781908476,1.651333848848694,1.1743895762073577,1.0490146046365216,1.2062267587983164,1.4187980567472962,1.1342832228867803,1.538327935165476,1.183506837171159,0.9017722101575373,0.0,1.4179018517323918,1.3984058479584947,0.9796379883782792,1.0341240384739234,1.143704124321468,0.9832006153080436,0.8543893092033719,0.9576762963362393,0.921971137833541,0.7585124816177111,1.3272322241038634,0.9811815200257672,1.1290309629078354,1.0134648061850524,0.8953499970421591,1.1128716389872186,1.1338664605986388
Takhar,1.4920966609068933,1.2790118308597755,1.5436143332927137,1.3128845394737576,1.2625569411722506,1.3364413369644934,0.9311400792354502,1.3071270033257967,1.0511374211874418,1.1294174509469255,1.3894356294562282,1.2008881948594867,1.110594077664118,1.2928565888131607,1.1270034513440288,1.154293083858837,1.4179018517323918,0.0,0.9720882032896471,1.5626111523273483,1.3590072000076279,1.572406048644654,1.2897074545621905,1.1768122620820771,1.577235456419082,1.3202212989996018,1.198613498090648,1.3821539245473091,1.4367600953638677,1.0940498862411392,1.1747924060870376,1.355767492778468,1.077791477723601,1.3940438304619271
Kunduz,1.2251845472822505,1.0861174543352445,1.0155519878440178,1.2847928264581936,0.8612743712008174,1.2188796086186715,1.0265888764419593,1.2487210748306545,0.839359602722379,1.1713985158347777,1.063715156098452,0.8991982808610388,0.9011973442143304,1.3765455565130584,0.931108239362346,1.1414731545285013,1.3984058479584947,0.9720882032896471,0.0,1.3411286578758421,1.1150861648968047,1.37228717431615,1.1973802877018982,1.3205247013299397,1.5580909395502949,1.108615682120492,1.1132094352995496,0.846843230212298,1.1567775024695814,1.0014193726848533,1.370579568768195,1.044672371094012,1.0220646807648595,1.4459560312021582
Samangan,0.6441502096524478,1.1966175264710313,0.9662492549008306,0.8343568473034831,1.0379631275176888,0.7354094138616925,1.211321989597771,1.4969476879923385,1.2654021811801734,1.1439393631789962,0.8527669324322424,1.1221369834840347,1.0627853666830493,1.1912881651759204,0.8679424273980743,0.9739927543411754,0.9796379883782792,1.5626111523273483,1.3411286578758421,0.0,0.7874401273241014,0.7119381525301737,1.1366566584735336,1.300570024031454,0.7408318068890112,0.7328328836761003,0.8057394424982565,0.9815798265140399,0.6257556414357821,1.121896688743701,1.2312337242606946,0.7982343585558676,1.207041435921809,1.0619588533939939
