country,adm1_pcode,region_name,stat_mean,stat_var,stat_skew,stat_kurt,hurst_exponent,approx_entropy,ar1_coeff,ar2_coeff,ar3_coeff
AFG,AF17,Badakhshan,51.73118279569893,67.15521271622254,-0.3558802893343725,-0.8662620535634638,0.1415922179885224,0.39030348597522124,0.918234491106273,-9.043188586836777e-17,-0.06481967783513473
AFG,AF18,Takhar,33.806451612903224,61.962131837307155,0.32957349935111235,-0.8107311994307591,0.0894489277193835,0.4428897893125274,0.8792397280480461,-0.004028929137248928,-0.10921739381877744
AFG,AF19,Kunduz,29.688172043010752,73.91257597007949,-0.027706796878237603,-0.9962785806001042,0.1422738687079475,0.3985780977827931,0.920678526748987,0.0013728383551362077,-0.06829341535367593
AFG,AF20,Samangan,39.81720430107527,61.455352968676955,0.18178820891516578,-0.42525355947239873,0.15530486192748674,0.36045045950526644,0.9533794683630649,-1.5948175544836133e-16,-0.05247776796056108
AFG,AF21,Balkh,38.505376344086024,119.2961664329126,-0.391135241245145,-0.4744007084447972,0.16205677034723573,0.4272524274850693,0.9206983998191518,0.002350521530846061,-0.05154572652807747
AFG,AF22,Sar-e-Pul,41.61290322580645,35.41374474053298,0.2949119739873975,0.22930357614153607,0.16699410321644725,0.2541646134713129,0.9461361399148175,0.007337071005958207,-0.06376977754918883
AFG,AF23,Ghor,50.96774193548387,81.66199158485277,0.13328035897918175,-1.2067191256392498,0.14380564947879018,0.4494597777393019,0.9159326758147514,-0.005476522298456573,-0.08954384648370492
AFG,AF24,Daykundi,49.25806451612903,69.36746143057505,-0.7509896275986814,-0.22607123612072888,0.09195649475219828,0.41950685028005674,0.9438044386630001,0.006761419529852569,-0.07509581447858545
AFG,AF25,Uruzgan,45.44086021505376,87.77092099111735,-0.2420663567420752,-0.9324824363856612,0.11273090211709286,0.39389709284970076,0.9512813524491396,-0.003681446238133275,-0.05787149919909999
AFG,AF26,Zabul,35.87096774193548,111.11360448807854,-0.38982838619841453,-1.1461980372341858,0.2487400793419049,0.27307094883062577,0.9464206209405234,0.0033317483065665628,-0.03448860366331356
AFG,AF27,Kandahar,36.784946236559136,84.6923796166433,-0.22972223089211075,-0.5260778502719132,0.18427671305395005,0.3328962786144136,0.9716958650980525,-0.005020607408938102,-0.04398430675961691
AFG,AF28,Jawzjan,36.795698924731184,152.79476390836845,-0.7157748566801305,-0.5655283668043878,0.13739069985788666,0.3120927320945248,0.9237749812520974,3.305329872002362e-16,-0.05227327757022137
AFG,AF29,Faryab,43.60215053763441,100.7421692379617,0.24576617731908376,-0.5484121501275685,0.23355507543841333,0.3071409859281855,0.9727098143593543,-2.2045494073730082e-17,-0.027290185640645736
AFG,AF30,Hilmand,32.54838709677419,213.1851332398317,0.6758285836408655,-0.765745333458463,0.18926219076527373,0.34619194076233084,0.9343335555201822,0.0014972416129606925,-0.06758434460212294
AFG,AF31,Badghis,53.27956989247312,175.81229546517068,-0.2944596009644361,-0.012919634399738644,0.2098772330812325,0.3864325379541036,0.9828868070451925,3.3791914867123626e-16,-0.017036583052430068
AFG,AF32,Hirat,39.55913978494624,162.01005142590006,-0.3254136180073637,-0.7670678332956973,0.1865600696222824,0.2964287472854741,0.9299805150622823,4.945951672952839e-17,-0.05595251680257953
AFG,AF33,Farah,31.559139784946236,144.0100514259,0.40367903765016894,-0.24363302774712015,0.20867024093843417,0.2905184253553368,0.927492702244935,0.0024021649154691727,-0.06279704826438276
AFG,AF34,Nimroz,44.193548387096776,44.17952314165501,-0.09429637128001991,-0.4005824258885484,0.17103175939982876,0.2945925312170923,0.940555583090566,0.007825450059750813,-0.07694016275026999
