,Kabul,Kapisa,Parwan,Maidan Wardak,Logar,Nangarhar,Laghman,Panjsher,Baghlan,Bamyan,Ghazni,Paktika,Paktya,Khost,Kunar,Nuristan,Badakhshan,Takhar,Kunduz,Samangan,Balkh,Sar-e-Pul,Ghor,Daykundi,Uruzgan,Zabul,Kandahar,Jawzjan,Faryab,Hilmand,Badghis,Hirat,Farah,Nimroz
Samangan,4.487995427402807,9.651540731011083,7.055056636453851,5.643980241634705,7.129160940262236,6.984017612941656,6.7396269805533215,12.38072260363512,9.853247310584416,8.39232602657634,6.715403835072457,9.366013861343093,8.103086270173545,9.115409162660592,6.009209636110552,8.317986907924157,6.2813314710034875,7.3549221815669705,8.170483559325746,0.0,6.070986475841063,6.495188855014886,6.714163190739532,8.587418032931735,5.642000810587961,6.3788733090354715,6.288337885199163,9.097706965527928,4.5742455546603695,8.730478535124186,9.377511395866398,6.775046973813731,10.274005823332608,6.226398528175909
Balkh,5.693071902101244,11.18140125699494,6.682085166076855,5.3037830296772634,5.127363726837858,6.88773077252992,5.748070533075672,13.386632897322368,6.423179747522653,9.363751604702777,8.66571241581236,10.146737361073729,7.441324073912351,12.10275762816128,5.59790032179537,6.838710586303165,5.4005396288991525,6.409880222941771,5.432276595377796,6.070986475841063,0.0,10.519008874100553,6.624393848792236,10.685586666306905,8.909151040694637,4.608093915967816,7.380274340310524,4.870443477555761,5.08981835013693,7.7377373388130115,11.226882316617925,5.439723423812183,8.623593962817123,9.840160033165974
Sar-e-Pul,8.393563024013256,7.167204271988529,9.20450478696164,8.444559346910774,9.851890995695934,9.086907817255533,7.954778361413331,8.966575479682932,10.280988419278447,8.078879725829708,5.7655745024911695,8.004400036061858,8.611424998790886,7.105054808634219,10.3670300610507,11.294719425134256,8.386396275060218,7.522399826299368,9.504553227938755,6.495188855014886,10.519008874100553,0.0,9.73460652137162,7.975506514214553,7.37346434301205,9.726718237302373,7.94801580679833,12.187514552662847,9.1227029461463,9.083869844448117,8.619903887856005,9.915181613805697,10.891455336130175,8.666754673855802
Ghor,5.865829964519923,11.067278895049597,8.688587304222436,7.341820091867025,8.620623881497027,6.682217933255638,6.321153696574182,12.939404118730502,5.781836480894061,7.257324411380288,7.663639515212971,8.143921874027383,4.7474540538448915,12.002666897344278,6.144893471059276,4.952759798737887,5.510086257380898,5.52258402986594,6.416414677774562,6.714163190739532,6.624393848792236,9.73460652137162,0.0,7.917330686426314,5.411869967696687,5.9948852979552205,5.4632742734240685,8.396786281243562,7.443928988695872,6.112346493874482,7.968977876773662,4.730690049896858,6.708672091386964,7.140725475183089
Daykundi,10.95558326613011,10.56097354887026,13.096443352944178,9.424493115122173,10.771168557772443,9.125114780136453,5.6032533523802925,9.340106209026677,10.171062067434416,6.194846845335535,7.672029128388455,8.368318058119225,7.79304012660089,8.415827492101013,9.720446325033953,9.65594609932119,7.5070545688011014,7.95502654265453,9.480451939732228,8.587418032931735,10.685586666306905,7.975506514214553,7.917330686426314,0.0,6.347191178152714,10.244020291008175,7.414158077048678,12.023668769097627,10.101815803535997,8.238181806347034,4.525768014044703,9.536533077010038,9.793940412829178,5.760286460274948
Uruzgan,7.1516116131765015,10.422686269495655,10.522104505657532,7.6478954833037625,9.824521632679433,6.674936078521285,6.744821027612548,11.80043813193264,9.400449911678406,6.14695806761848,6.771742220042999,8.072688106355244,6.646259891350844,9.950034788883974,8.798212256389894,7.8612818548384364,4.86738957885024,6.604910181313416,9.417720189128726,5.642000810587961,8.909151040694637,7.37346434301205,5.411869967696687,6.347191178152714,0.0,7.587108716308316,6.867687893099728,11.719864115615637,7.773883867624863,8.030784636483418,5.91665896688219,7.603100862297233,8.20172643829494,5.944075330116531
Zabul,5.1230677812574505,11.341609683913752,6.918028820900403,6.704700336391578,7.478471589580627,4.776047627586852,6.0294773436592655,14.452634105205048,8.659999288092942,8.525408910166743,9.729983628663161,10.85742567912588,6.678443811599624,12.816748258651787,6.322035867864804,4.710025398760115,4.454036138986162,7.941338134544628,8.407132410928263,6.3788733090354715,4.608093915967816,9.726718237302373,5.9948852979552205,10.244020291008175,7.587108716308316,0.0,5.668715449174803,8.12139395598598,4.5858493171673995,8.124557631861702,10.356252806353869,3.0818899114651357,6.728506764841915,9.839499219457194
Kandahar,6.297221812045903,10.44697615504053,9.46331723132404,6.5370147130666965,8.619409129281696,4.435524770879302,6.1276760745298295,12.112634996720102,8.061878283044406,6.805135481292124,8.449445933959545,10.18960418015461,5.368629012541412,9.7781261300658,6.906102858256911,4.825858226448902,6.292762024060097,8.960796426170836,8.555452904830444,6.288337885199163,7.380274340310524,7.94801580679833,5.4632742734240685,7.414158077048678,6.867687893099728,5.668715449174803,0.0,8.985064229048639,6.101469147089959,5.946231465021165,7.078129997501648,5.056216745004419,6.140230174724786,6.600342444651005
Jawzjan,6.673360128994969,9.92903667642979,6.681348458801667,8.53414142871969,4.52387148048288,9.79413635680601,8.823199283873812,13.62184227548113,7.218660896594919,10.15904522853028,9.917826499050406,10.12923188315439,9.321415093483584,12.690743065568657,7.1801854137061785,8.270462971805612,7.468515598026298,9.317621683640676,7.039680383016806,9.097706965527928,4.870443477555761,12.187514552662847,8.396786281243562,12.023668769097627,11.719864115615637,8.12139395598598,8.985064229048639,0.0,7.2119166069583684,8.561304015902637,12.57706943966242,7.413271429411942,9.785230382930743,10.815235519381343
Faryab,4.262996934607155,9.737196085154451,4.990001272091936,6.349543573126425,6.200138495186511,6.983884812190582,7.798435029247247,13.686751712496282,9.963133166289671,9.322396411298657,8.943925075704737,10.554595319702873,7.942390729277806,11.24132777629968,5.911666323549213,7.490227085792728,6.072876847490062,9.343182104415458,8.643820513502577,4.5742455546603695,5.08981835013693,9.1227029461463,7.443928988695872,10.101815803535997,7.773883867624863,4.5858493171673995,6.101469147089959,7.2119166069583684,0.0,8.978705414977938,10.942756890332635,6.177750792207583,9.673105532046751,9.163069813513564
Hilmand,7.569231641095133,7.425054217002228,10.750170363978382,8.307637193414797,8.652912558728367,6.9213979289239616,7.06183739678009,9.113226313020084,5.758128259101847,5.502527176290559,7.778238231256476,8.312117599338398,4.179457922691312,7.50196608784715,8.91008673443293,5.9634126356062005,7.83284328851926,9.379753381836005,8.453539263631653,8.730478535124186,7.7377373388130115,9.083869844448117,6.112346493874482,8.238181806347034,8.030784636483418,8.124557631861702,5.946231465021165,8.561304015902637,8.978705414977938,0.0,7.353000781533781,8.197819213155439,7.190237106032355,6.217088151721076
Badghis,11.240974777465798,10.182289856907165,13.846460243279672,10.374634642533893,12.285856680893227,8.599132221064702,6.326189670086133,9.495565535966515,9.373124968885396,5.963950703388977,8.697199669899685,8.190071001360472,6.98367428026236,9.199061533734964,11.324304695280983,8.751789077685762,7.489067631919045,8.846247762596438,11.067091511089897,9.377511395866398,11.226882316617925,8.619903887856005,7.968977876773662,4.525768014044703,5.91665896688219,10.356252806353869,7.078129997501648,12.57706943966242,10.942756890332635,7.353000781533781,0.0,9.272835720550892,8.456481070650975,5.643799568235287
Hirat,6.2663457210110804,11.174020575417932,8.193387869004193,7.418576973722659,8.571113853354579,5.246296770543532,5.929911119823644,13.714059283691139,7.336340448429593,8.811721212257918,9.170298922297691,10.173008720435716,6.2036520864774225,12.79038175526171,6.296864438542909,3.9079259410100433,4.695374558234838,6.475274284267967,7.03363433776258,6.775046973813731,5.439723423812183,9.915181613805697,4.730690049896858,9.536533077010038,7.603100862297233,3.0818899114651357,5.056216745004419,7.413271429411942,6.177750792207583,8.197819213155439,9.272835720550892,0.0,5.693225611212502,9.53799613513229
Farah,8.631830060577355,11.109200547518352,11.16221479570784,8.47177174613711,10.86212373689275,5.248977144929456,8.35290388774521,11.444432584004776,6.997557647502728,7.525076731475874,10.995118818994541,10.587213680275696,5.469017700319236,11.818232185845384,8.327523768663598,4.463094867836324,7.272371741456847,8.64584023854771,8.429047167225729,10.274005823332608,8.623593962817123,10.891455336130175,6.708672091386964,9.793940412829178,8.20172643829494,6.728506764841915,6.140230174724786,9.785230382930743,9.673105532046751,7.190237106032355,8.456481070650975,5.693225611212502,0.0,8.475390002093835
Nimroz,7.338235358070022,10.986868928689256,8.857532081193916,8.035621374649157,8.71587540389697,7.435080506123255,5.263915905108856,11.65195972084992,8.042987154096421,5.764177564849639,8.226872413493608,8.058061143665547,5.303295495097551,7.0164772300532094,8.921854786529462,7.630411186127435,7.056172002702543,8.914694831994087,9.26657235480227,6.226398528175909,9.840160033165974,8.666754673855802,7.140725475183089,5.760286460274948,5.944075330116531,9.839499219457194,6.600342444651005,10.815235519381343,9.163069813513564,6.217088151721076,5.643799568235287,9.53799613513229,8.475390002093835,0.0
